S.N.,Open,High,Low,Close,Change,% Change,Turnover,Date
205,"2,712.89","2,745.89","2,670.35","2,674.76",-5.21,-0.19,"7,585,022,590.91",5/26/2025
206,"2,693.04","2,703.78","2,665.48","2,679.98",-8.57,-0.31,"7,609,514,022.00",5/25/2025
207,"2,674.10","2,705.56","2,669.58","2,688.55",19.04,0.71,"9,822,070,682.42",5/22/2025
208,"2,712.35","2,771.47","2,667.85","2,669.51",-7.94,-0.29,"10,698,651,680.69",5/21/2025
209,"2,627.68","2,681.58","2,617.46","2,677.45",49.09,1.86,"7,312,790,196.17",5/20/2025
210,"2,606.73","2,639.69","2,605.03","2,628.36",19.3,0.74,"7,358,855,085.18",5/19/2025
211,"2,608.25","2,625.26","2,606.09","2,609.05",-2.79,-0.1,"8,509,221,312.61",5/18/2025
212,"2,623.24","2,628.67","2,605.89","2,611.85",-8.41,-0.32,"7,083,348,240.63",5/15/2025
213,"2,635.21","2,642.96","2,619.64","2,620.27",-13.96,-0.53,"8,736,570,105.44",5/14/2025
214,"2,650.54","2,669.28","2,632.29","2,634.23",-14.87,-0.56,"9,629,346,053.77",5/13/2025
215,"2,661.55","2,692.50","2,648.48","2,649.11",-12.53,-0.47,"10,202,701,343.99",5/11/2025
216,"2,674.70","2,687.38","2,655.79","2,661.64",-12.04,-0.45,"11,650,017,851.57",5/8/2025
217,"2,613.78","2,676.25","2,611.71","2,673.69",62.25,2.38,"10,518,406,352.63",5/7/2025
218,"2,608.59","2,625.70","2,608.57","2,611.43",1.03,0.03,"8,747,668,846.35",5/6/2025
219,"2,618.33","2,630.36","2,604.79","2,610.40",-9.98,-0.38,"7,634,193,693.73",5/5/2025
220,"2,628.03","2,645.67","2,619.26","2,620.39",-3.44,-0.13,"9,245,583,315.99",5/4/2025
221,"2,631.90","2,642.07","2,622.72","2,623.83",-8.14,-0.3,"9,374,122,655.90",4/30/2025
222,"2,648.98","2,666.54","2,630.30","2,631.98",-15.08,-0.57,"7,575,206,278.35",4/29/2025
223,"2,661.01","2,676.05","2,645.24","2,647.07",-14.53,-0.54,"8,912,843,919.69",4/28/2025
224,"2,657.66","2,684.51","2,657.37","2,661.60",3.58,0.13,"10,875,991,144.35",4/27/2025
225,"2,656.49","2,668.06","2,641.88","2,658.02",2.08,0.07,"7,879,381,268.28",4/24/2025
226,"2,687.68","2,687.68","2,653.74","2,655.94",-32.38,-1.2,"7,575,517,246.76",4/23/2025
227,"2,695.14","2,707.86","2,682.80","2,688.32",-9.96,-0.36,"8,321,226,373.33",4/22/2025
228,"2,704.18","2,716.70","2,691.07","2,698.28",-7.75,-0.28,"8,775,720,293.64",4/21/2025
229,"2,724.51","2,731.81","2,700.85","2,706.04",-16.68,-0.61,"8,433,589,785.29",4/20/2025
230,"2,701.22","2,740.13","2,697.63","2,722.73",26.49,0.98,"10,797,363,282.32",4/17/2025
231,"2,702.46","2,704.97","2,685.36","2,696.23",7.01,0.26,"7,265,122,241.80",4/16/2025
232,"2,678.51","2,704.58","2,669.22","2,689.22",27.14,1.01,"8,544,357,887.81",4/15/2025
233,"2,673.01","2,676.70","2,657.32","2,662.08",-8.62,-0.32,"6,280,296,245.03",4/13/2025
234,"2,677.57","2,687.92","2,667.00","2,670.70",-5.57,-0.2,"5,637,981,250.22",4/10/2025
235,"2,681.86","2,701.12","2,671.65","2,676.28",9.66,0.36,"4,484,619,740.83",4/9/2025
236,"2,671.62","2,674.88","2,631.68","2,666.61",-3.44,-0.12,"5,309,562,287.49",4/8/2025
237,"2,702.09","2,710.13","2,667.56","2,670.06",-33.33,-1.23,"5,658,973,766.40",4/7/2025
238,"2,700.40","2,732.85","2,700.23","2,703.39",3.35,0.12,"7,844,642,487.27",4/3/2025
239,"2,693.11","2,712.25","2,669.06","2,700.04",23.86,0.89,"5,444,435,901.35",4/2/2025
240,"2,691.59","2,696.50","2,654.57","2,676.17",-16.95,-0.62,"5,797,791,700.14",4/1/2025
241,"2,661.40","2,718.95","2,657.88","2,693.12",29.82,1.11,"7,568,226,197.37",3/30/2025
242,"2,632.12","2,665.17","2,621.46","2,663.30",41.43,1.58,"5,223,083,340.93",3/27/2025
243,"2,580.18","2,625.60","2,579.45","2,621.86",39.13,1.51,"4,204,408,894.89",3/26/2025
244,"2,652.87","2,652.87","2,581.32","2,582.73",-58.05,-2.19,"5,180,718,708.09",3/25/2025
245,"2,610.45","2,645.99","2,592.32","2,640.78",26.1,0.99,"4,483,599,004.48",3/24/2025
246,"2,667.61","2,669.00","2,614.09","2,614.68",-54.62,-2.04,"6,320,141,365.59",3/23/2025
247,"2,679.91","2,685.87","2,666.69","2,669.31",-12.84,-0.47,"4,561,311,282.76",3/20/2025
248,"2,699.18","2,706.16","2,676.69","2,682.15",-14.88,-0.55,"5,143,997,643.35",3/19/2025
249,"2,721.81","2,723.89","2,690.58","2,697.04",-7.66,-0.28,"4,346,632,263.56",3/18/2025
250,"2,715.75","2,732.51","2,699.20","2,704.70",-10.14,-0.37,"5,408,314,075.31",3/17/2025
251,"2,735.97","2,739.55","2,693.55","2,714.85",-21.63,-0.79,"6,836,640,407.59",3/16/2025
252,"2,718.35","2,745.58","2,717.29","2,736.48",17.28,0.63,"8,235,268,755.31",3/12/2025
253,"2,752.31","2,762.25","2,712.74","2,719.20",-32.21,-1.17,"8,391,149,050.00",3/11/2025
254,"2,770.17","2,791.03","2,743.65","2,751.42",-20.68,-0.74,"8,378,055,057.57",3/10/2025
255,"2,819.92","2,819.92","2,766.08","2,772.10",-46.33,-1.64,"10,093,624,481.61",3/9/2025
